FFD Points: X, Y, Z
0.555560555556, 0.060001, 1.529955
5, 2, 3
0.555560555556, 0.060001, 2.2949825
5, 2, 4
0.555560555556, 0.060001, 3.06001
6, 0, 0
0.666670666667, -0.060001, -0.0001
6, 0, 1
0.666670666667, -0.060001, 0.7649275
6, 0, 2
0.666670666667, -0.060001, 1.529955
6, 0, 3
0.666670666667, -0.060001, 2.2949825
6, 0, 4
0.666670666667, -0.060001, 3.06001
6, 1, 0
0.666670666667, 0.0, -0.0001
6, 1, 1
0.666670666667, 0.0, 0.7649275
6, 1, 2
0.666670666667, 0.0, 1.529955
6, 1, 3
0.666670666667, 0.0, 2.2949825
6, 1, 4
0.666670666667, 0.0, 3.06001
6, 2, 0
0.666670666667, 0.060001, -0.0001
6, 2, 1
0.666670666667, 0.060001, 0.7649275
6, 2, 2
0.666670666667, 0.060001, 1.529955
6, 2, 3
0.666670666667, 0.060001, 2.2949825
6, 2, 4
0.666670666667, 0.060001, 3.06001
7, 0, 0
0.777780777778, -0.060001, -0.0001
7, 0, 1
0.777780777778, -0.060001, 0.7649275
7, 0, 2
0.777780777778, -0.060001, 1.529955
7, 0, 3
0.777780777778, -0.060001, 2.2949825
7, 0, 4
0.777780777778, -0.060001, 3.06001
7, 1, 0
0.777780777778, 0.0, -0.0001
7, 1, 1
0.777780777778, 0.0, 0.7649275
7, 1, 2
0.777780777778, 0.0, 1.529955
7, 1, 3
0.777780777778, 0.0, 2.2949825
7, 1, 4
0.777780777778, 0.0, 3.06001
7, 2, 0
0.777780777778, 0.060001, -0.0001
7, 2, 1
0.777780777778, 0.060001, 0.7649275
7, 2, 2
0.777780777778, 0.060001, 1.529955
7, 2, 3
0.777780777778, 0.060001, 2.2949825
7, 2, 4
0.777780777778, 0.060001, 3.06001
8, 0, 0
0.888890888889, -0.060001, -0.0001
8, 0, 1
0.888890888889, -0.060001, 0.7649275
8, 0, 2
0.888890888889, -0.060001, 1.529955
8, 0, 3
0.888890888889, -0.060001, 2.2949825
8, 0, 4
0.888890888889, -0.060001, 3.06001
8, 1, 0
0.888890888889, 0.0, -0.0001
8, 1, 1
0.888890888889, 0.0, 0.7649275
8, 1, 2
0.888890888889, 0.0, 1.529955
8, 1, 3
0.888890888889, 0.0, 2.2949825
8, 1, 4
0.888890888889, 0.0, 3.06001
8, 2, 0
0.888890888889, 0.060001, -0.0001
8, 2, 1
0.888890888889, 0.060001, 0.7649275
8, 2, 2
0.888890888889, 0.060001, 1.529955
8, 2, 3
0.888890888889, 0.060001, 2.2949825
8, 2, 4
0.888890888889, 0.060001, 3.06001
9, 0, 0
1.000001, -0.060001, -0.0001
9, 0, 1
1.000001, -0.060001, 0.7649275
9, 0, 2
1.000001, -0.060001, 1.529955
9, 0, 3
1.000001, -0.060001, 2.2949825
9, 0, 4
1.000001, -0.060001, 3.06001
9, 1, 0
1.000001, 0.0, -0.0001
9, 1, 1
1.000001, 0.0, 0.7649275
9, 1, 2
1.000001, 0.0, 1.529955
9, 1, 3
1.000001, 0.0, 2.2949825
9, 1, 4
1.000001, 0.0, 3.06001
9, 2, 0
1.000001, 0.060001, -0.0001
9, 2, 1
1.000001, 0.060001, 0.7649275
9, 2, 2
1.000001, 0.060001, 1.529955
9, 2, 3
1.000001, 0.060001, 2.2949825
9, 2, 4
1.000001, 0.060001, 3.06001
Solid Boundary Point Data
0.0341711910636, 0.0301068295074, 0.0
0.0341614985171, 0.750886064461, 3.26785638425e-05
0.0523645828256, 0.0362510637282, 0.0
0.0523550540211, 0.802087162949, 3.26785638425e-05
0.0805630313891, 0.0431893132601, 0.0
0.0805537563729, 0.859904945419, 3.26785638425e-05
0.109149045928, 0.0483012752921, 0.0
0.109140028189, 0.902503919035, 3.26785638425e-05
0.137933209292, 0.0521436800325, 0.0
0.137924450612, 0.93452342488, 3.26785638425e-05
0.166829368531, 0.055020820243, 0.0
0.166820869919, 0.958499193705, 3.26785638425e-05
0.195792585172, 0.0571241199667, 0.0
0.195784347231, 0.976026399282, 3.26785638425e-05
0.224795319954, 0.0585847123383, 0.0
0.22478734304, 0.988197799522, 3.26785638425e-05
0.253820400768, 0.0594993980279, 0.0
0.253812685083, 0.995820053232, 3.26785638425e-05
0.282856509797, 0.0599424834811, 0.0
0.282849055439, 0.999512370469, 3.26785638425e-05
